coach,year,actual_decision,predicted_go_rate,fourth_down_phat_var_sum,fourth_down_plays,fourth_down_aggression,actual_pass,predicted_pass_rate,pass_heavy_phat_var_sum,run_pass_plays,pass_heavy_aggression,actual_beyond,predicted_beyond_rate,deep_pass_phat_var_sum,pass_plays,deep_pass_aggression,actual_two_point,predicted_two_point_rate,two_point_phat_var_sum,conversion_attempts,two_point_aggression,fourth_down_aggression_reliability,pass_heavy_aggression_reliability,deep_pass_aggression_reliability,two_point_aggression_reliability,composite_aggression,fourth_down_aggression_zscore,pass_heavy_aggression_zscore,deep_pass_aggression_zscore,two_point_aggression_zscore,composite_aggression_zscore,total_plays,coach_war,season_number,annual_war,annual_games,cumulative_war,cumulative_games,win_pct,predicted_impact,predicted_replacement,total_seasons,Background,Offensive_Years,Defensive_Years,era
Eric Mangini,2006,0.1692307692307692,0.1925721906027355,5.431465284442923,130,-0.0233414213719662,0.555858310626703,0.5933041073801462,196.4806562134665,1101,-0.0374457967534431,0.3594646271510516,0.3970032099743694,104.01558397070283,523,-0.0375385828233177,0.0,0.0150928688269939,0.3727022632683864,36,-0.0150928688269939,0.6208044890812858,0.9247940851521708,0.7283511371263454,0.7692429166187957,-0.0289404823188094,-0.8535520879499245,-0.7660493930588531,-0.9968101734550514,-0.5509611210567144,-1.5498449370442606,1790,Eric Mangini,1,0.0266836881637573,0.4269390106201168,0.0266836881637573,0.4269390106201168,0.625,-0.021999776,0.5983163,5,Defensive,2,10,Early (2006-2011)
Mike Nolan,2006,0.1162790697674418,0.1372303650406709,5.241465815608216,129,-0.020951295273229,0.5553168635875403,0.6137292328796816,159.4633066917096,931,-0.0584123692921413,0.3469387755102041,0.3745484503274455,84.50297872012762,441,-0.0276096748172414,0.0,0.012190887130661,0.345924182580746,30,-0.012190887130661,0.6255394470919299,0.9154955758316168,0.7011863911799108,0.7138094854559095,-0.0320171302853166,-0.7764934995308546,-1.2141994093731865,-0.7406843067288061,-0.4887685977994071,-1.700993888806441,1531,Mike Nolan,2,-0.1018596291542053,-1.6297540664672847,-0.1524455547332763,-2.439128875732421,0.4375,-0.062698096,0.5393596,4,Defensive,1,33,Early (2006-2011)
Gary Kubiak,2006,0.1271186440677966,0.1368605837441449,3.72632548598676,118,-0.0097419396763482,0.5843621399176955,0.6117213985675739,169.94502954379507,972,-0.0273592586498784,0.2489539748953975,0.3582644801463251,93.06161383186168,478,-0.1093105052509276,0.1,0.0533345344729696,1.062100905535474,30,0.0466654655270303,0.662856738902612,0.9172224782808988,0.7145549701008762,0.4482296509604994,-0.0323543427989497,-0.4150995463668747,-0.5504546787904832,-2.848236919188877,0.7725850096783063,-1.7175603983686596,1598,Gary Kubiak,1,-0.0381948947906494,-0.6111183166503904,-0.0381948947906494,-0.6111183166503904,0.375,-0.06306973,0.4131949,10,Offensive,16,0,Early (2006-2011)
Dennis Green,2006,0.1229508196721311,0.180530462407287,4.458280676429238,122,-0.0575796427351558,0.5937193326790972,0.6220536821698213,173.37237100003176,1019,-0.0283343494907241,0.3289719626168224,0.3662536296480828,103.34718872282912,535,-0.0372816670312603,0.0303030303030303,0.0437556845470019,0.4658960663273116,33,-0.0134526542439716,0.6372349879952739,0.9227042139928456,0.7384813391590193,0.6914348197831505,-0.0333358719901573,-1.9574055664843804,-0.5712967585069652,-0.990182780001904,-0.515809595555883,-1.7657807700166497,1709,Dennis Green,13,-0.0597122609615325,-0.95539617538452,0.582013731765747,9.312219708251952,0.3125,0.014763564,0.37221226,13,Offensive,10,0,Early (2006-2011)
Romeo Crennel,2006,0.123076923076923,0.1377486271706857,4.945513351377644,130,-0.0146717040937626,0.6303219106957425,0.647965841374417,162.31472897423265,963,-0.0176439306786745,0.3254437869822485,0.3949991708895565,100.70633388004428,507,-0.069555383907308,0.0,0.0360727230417251,0.6218444061612767,25,-0.0360727230417251,0.642605879281272,0.9192742232634618,0.7224132993498823,0.4907123127459368,-0.0337285062919872,-0.5740370549130626,-0.3427943957013873,-1.8227147867740925,-1.0005814866273866,-1.785070030209406,1625,Romeo Crennel,2,-0.0686280131340026,-1.0980482101440416,-0.1744575798511504,-2.7913212776184064,0.25,-0.04549554,0.318628,5,Defensive,0,32,Early (2006-2011)
Bill Belichick,2007,0.2342342342342342,0.2244427162384798,4.239675312917908,111,0.0097915179957543,0.6084905660377359,0.5109529945122242,232.12048779649555,1272,0.0975375715255116,0.3525179856115107,0.3720268288448914,131.51363600669825,695,-0.0195088432333806,0.0119047619047619,0.0142038671680157,0.2409875109979327,84,-0.0022991052632538,0.604602117158837,0.9328547821243224,0.7892422487540175,0.9655992898136966,0.0240838266421102,0.2146666722234995,2.1191526868101977,-0.5317154544290432,-0.2767772972952248,1.0551228085686852,2162,Bill Belichick,13,0.2338064312934875,3.7409029006958,0.8816932439804075,14.10709190368652,1.0,0.043234825,0.76619357,29,Defensive,1,13,Early (2006-2011)
Sean Payton,2007,0.2293577981651376,0.1887455929778514,3.89469918519754,109,0.0406122051872861,0.6476014760147601,0.5979292972311481,188.76596092729105,1084,0.049672178783612,0.335375191424196,0.3741331297485211,126.27535904292372,653,-0.0387579383243251,0.1063829787234042,0.0958028240759031,0.96615221301595,47,0.0105801546475011,0.616137002415524,0.925413100351146,0.7749263182659528,0.686704460243013,0.0160565953828551,1.2083375293134084,1.096053823198502,-1.0282646379693554,-0.0007611967978584,0.6607625815952934,1893,Sean Payton,2,-0.0681914091110229,-1.0910625457763663,-0.006363272666931,-0.1018123626708975,0.4375,-0.015822858,0.5056914,17,Offensive,16,0,Early (2006-2011)
Cam Cameron,2007,0.1954887218045112,0.1675611954948468,4.7290422827714735,133,0.0279275263096644,0.6217821782178218,0.6513259782059357,171.17937005916804,1010,-0.0295437999881139,0.4010889292196007,0.3616522931603839,109.15765024032684,551,0.0394366360592167,0.0714285714285714,0.0482080995262939,1.0626035315943754,28,0.0232204719022774,0.6630866424512706,0.9223459164192512,0.7392987970783325,0.4142835686449143,0.0109689376545643,0.7993785838522641,-0.5971481588317554,0.9888406796565052,0.2701341109984767,0.4108171406715099,1722,Cam Cameron,1,-0.199984610080719,-3.199753761291504,-0.199984610080719,-3.199753761291504,0.0625,-0.055810705,0.2624846,1,Offensive,25,0,Early (2006-2011)
Jack Del Rio,2007,0.2992125984251969,0.2441295550614114,5.167557611864912,127,0.0550830433637853,0.5336832895888014,0.5807794857185989,201.88241433786092,1143,-0.0470961961297975,0.4233716475095785,0.3647186799832291,100.05877924472274,522,0.0586529675263494,0.0178571428571428,0.0195230640514247,0.1720021953800511,56,-0.0016659211942819,0.6215372816034569,0.928048708615194,0.73521175950334,0.9458834538133016,0.009928304025429,1.6748829403320895,-0.9723218598614588,1.4845446935627788,-0.2632074960158251,0.3596930979066058,1848,Jack Del Rio,5,0.051296591758728,0.820745468139648,0.0179232060909272,0.2867712974548352,0.6875,0.00257653,0.6362034,12,Defensive,0,11,Early (2006-2011)
Scott Linehan,2007,0.1594202898550724,0.161840474373792,4.043124827395928,138,-0.0024201845187196,0.621414913957935,0.6414317870352338,176.71293332114192,1046,-0.0200168730772988,0.4238178633975482,0.3834895048836389,113.93390442708387,571,0.0403283585139092,0.074074074074074,0.0505350178675682,0.3785231090550383,27,0.0235390562065057,0.7125075315686697,0.9250403680425529,0.7447510592279306,0.6486658259721442,0.0082689029733008,-0.1790433326403252,-0.3935148543120477,1.0118435301661075,0.2769617080764212,0.2781703717732738,1782,Scott Linehan,2,-0.1585133671760559,-2.5362138748168945,-0.2429069876670837,-3.8865118026733394,0.1875,-0.05039549,0.34601337,3,Offensive,29,0,Early (2006-2011)
Herm Edwards,2007,0.1496598639455782,0.1339521516354728,4.507641829971575,147,0.0157077123101054,0.6320388349514563,0.6337313691262626,177.05362251012852,1030,-0.0016925341748063,0.3817204301075269,0.3719585285234089,109.69431428816706,558,0.0097619015841179,0.125,0.1147627678312801,0.3419263371199696,24,0.0102372321687198,0.7160995097359958,0.9227372414938884,0.7432006784045142,0.617581520900321,0.007755617778385,0.4054070615768831,-0.0018412623148652,0.2233519589780049,-0.008110386582207,0.2529537984079964,1759,Herm Edwards,7,-0.2204365134239196,-3.526984214782713,-0.5725669562816615,-9.161071300506585,0.25,-0.06860542,0.4704365,8,Both,3,4,Early (2006-2011)
