offensive_coach,fourth_down_aggression,fourth_down_plays,actual_decision,predicted_go_rate,pass_heavy_aggression,run_pass_plays,actual_pass,predicted_pass_rate,deep_pass_aggression,pass_plays,actual_beyond,predicted_beyond_rate,two_point_aggression,conversion_attempts,actual_two_point,predicted_two_point_rate,composite_aggression,fourth_down_aggression_zscore,pass_heavy_aggression_zscore,deep_pass_aggression_zscore,two_point_aggression_zscore,composite_aggression_zscore,total_plays
Bruce Arians,-0.007893086210185404,1020,0.11274509803921569,0.120638184,0.04983928494005485,9293,0.6465081243947057,0.59666884,0.04983764002711061,5255,0.4325404376784015,0.3827028,0.005340592302743669,412,0.06796116504854369,0.06262057,0.02428110776493093,-0.453477222558467,1.2160076882131108,1.9368170806687481,0.024181908984417706,1.3744624903255982,15980
Robert Saleh,0.02281371591647602,587,0.21976149914821125,0.19694778,0.044132922676782926,4316,0.6607970342910102,0.6166641,-0.027884077589925227,2434,0.34593262119967133,0.3738167,0.05637650487441864,126,0.1746031746031746,0.11822667,0.02385976646943809,0.8755434919418662,1.020752373111463,-0.7610278304342127,1.5421273365493362,1.3460990112789284,7463
Sean McDermott,0.015638041747621734,996,0.18674698795180722,0.17110895,0.0549973668764584,9552,0.6190326633165829,0.5640353,0.011566131437488802,4901,0.3819628647214854,0.37039673,0.01292694589670966,425,0.06352941176470588,0.050602466,0.02378212148956965,0.5649732289892139,1.39250242642749,0.6083519121877967,0.24982048718518415,1.3408721754972572,15874
Chris Tabor,0.06907056863345795,63,0.3492063492063492,0.28013578,-0.053091143036635646,383,0.5613577023498695,0.61444885,0.045621004971590884,176,0.4659090909090909,0.4202881,0.02922003467877704,6,0.3333333333333333,0.3041133,0.022705116311797557,2.8775857493830186,-2.3059757087211885,1.790450945497042,0.7344208082417486,1.2683712976586339,628
Matt Nagy,0.02188327637585727,528,0.2159090909090909,0.19402581,0.044672237461406916,4383,0.6313027606662104,0.5866305,-0.00730925720973985,2309,0.3642269380684279,0.3715362,0.03151946687717842,153,0.0915032679738562,0.0599838,0.02269143087617569,0.8352731499514566,1.0392061749123944,-0.04684296471819987,0.8028121118489289,1.267450033660403,7373
Dave Canales,0.056251266019807455,139,0.26618705035971224,0.20993578,0.0203418186432468,1021,0.6464250734573947,0.62608325,0.006719251764321921,547,0.39853747714808047,0.39181823,0.005987170495485,38,0.07894736842105263,0.0729602,0.022324876730715294,2.3227536750851496,0.2066891748138101,0.44010898007179966,0.04341288501245509,1.2427746673114322,1745
Jonathan Gannon,0.04495429630704256,247,0.2550607287449393,0.21010643,-0.01632879815832544,2192,0.604470802919708,0.6207996,-0.04416536066653953,1096,0.3403284671532847,0.38449383,0.10398283486182874,78,0.23076923076923078,0.1267864,0.022110743086001583,1.8338096718178254,-1.0480739313857026,-1.326177161164429,2.9580677456886524,1.2283598088344814,3613
Darrell Bevell,0.011367878743580417,56,0.23214285714285715,0.22077498,0.03235335608074619,559,0.6618962432915921,0.6295429,0.0023484755130041,315,0.38095238095238093,0.3786039,0.03240143928838812,23,0.17391304347826086,0.1415116,0.019617787406429707,0.38015635801532627,0.6176894616882396,0.28839235788790135,0.82904434561087,1.060541232924171,953
Mike McDaniel,0.04052811309427101,389,0.2544987146529563,0.2139706,0.023910406507958726,3368,0.6217339667458432,0.59782356,0.011088176889650359,1818,0.3921892189218922,0.38110104,0.0017965700891282854,144,0.06944444444444445,0.067647874,0.019330816645252095,1.6422400921630456,0.3287959945082048,0.5917613467170482,-0.08122685208732372,1.0412231901433242,5719
Kevin O'Connell,0.021962955594062805,384,0.1953125,0.17334954,0.06654971695959377,3483,0.655756531725524,0.5892068,0.009896581423257833,1924,0.3814968814968815,0.3716003,-0.022828531265258786,140,0.05,0.07282853,0.018895180677913907,0.838721745186921,1.7877906418577156,0.5503991655447191,-0.8136436566603503,1.0118974350755243,5931
Bill Parcells,0.027655802943088392,108,0.21296296296296297,0.18530716,0.00821880336491454,1109,0.5743913435527502,0.56617254,0.027115554520578122,528,0.4071969696969697,0.38008142,0.012151676747534007,54,0.05555555555555555,0.04340388,0.018785459394028765,1.085113799303626,-0.20812556335803728,1.14809721403512,0.22676189567924013,1.004511315153883,1799
Brian Flores,0.014543279397244369,392,0.18622448979591838,0.17168121,0.06410561142296622,3248,0.6594827586206896,0.59537715,-0.003251041120357734,1780,0.3702247191011236,0.37347576,-0.0024705947491160674,114,0.11403508771929824,0.11650568,0.018231813737684198,0.5175908335478042,1.7041603753799857,0.09402419520282472,-0.20814382150140132,0.9672414886711953,5534
Matt Eberflus,0.030781480684407392,413,0.24939467312348668,0.21861319,-0.01417916910147965,3240,0.5867283950617284,0.60090756,-0.010128213610014869,1451,0.36044107512060647,0.3705693,0.06530562124469064,110,0.17272727272727273,0.10742165,0.017944929804400878,1.2203962180957393,-0.9745198036452357,-0.14469344219447372,1.8077032944087021,0.9479292908934059,5214
Zac Taylor,0.016858364188477165,799,0.1939924906132666,0.17713413,0.07432057054815755,6931,0.6595007935362862,0.5851802,-0.024133929113932973,3861,0.34317534317534315,0.36730927,0.004557428404097091,277,0.07220216606498195,0.06764474,0.01790060850669971,0.6177899891186676,2.0536869162337132,-0.63085418924311,0.0008885063766964647,0.9449457091459821,11868
Nick Sirianni,0.050924898187319434,555,0.26666666666666666,0.21574177,-0.007457232339868725,5106,0.5532706619663141,0.5607279,-0.006520424158342419,2294,0.3709677419354839,0.37748817,0.030239577786844288,244,0.09016393442622951,0.059924357,0.016796704868988144,2.092223216288903,-0.7445144482317977,-0.019461310031815154,0.7647447648658716,0.8706341046754285,8199
Shane Steichen,0.05813230817415277,294,0.25510204081632654,0.19696973,-0.009920326160983817,2201,0.5833711949114039,0.5932915,0.007574457479512076,1085,0.3898617511520737,0.3822873,0.009799969269008169,82,0.12195121951219512,0.11215125,0.0163966021904223,2.404167036778149,-0.8287944392274956,0.46979453589083636,0.15681578451712197,0.843700347976492,3662
Marc Trestman,-0.00332520131407113,232,0.1939655172413793,0.19729072,0.045255087928854576,2079,0.658008658008658,0.61275357,-0.006887944163502857,1184,0.3597972972972973,0.36668524,0.028239353195480682,92,0.11956521739130435,0.091325864,0.015820323911690318,-0.25577465413900785,1.0591496426468423,-0.0322185162034051,0.7052527009530494,0.8049069587248008,3587
Brian Daboll,0.019989219137780512,473,0.2452431289640592,0.22525391,0.020259803957432543,3417,0.6294995610184372,0.60923976,-0.06324753656316157,1675,0.30268656716417913,0.3659341,0.08366661003002754,104,0.16346153846153846,0.07979493,0.015167024140519757,0.753296482584076,0.20388286799647118,-1.988549953659036,2.3538085283090626,0.7609287050643895,5669
Nathaniel Hackett,-0.01290604780460225,145,0.1724137931034483,0.18531984,0.03847411314163285,987,0.6342451874366768,0.5957711,0.004829369896040214,508,0.36023622047244097,0.35540685,0.029168610545721924,22,0.09090909090909091,0.06174048,0.014891511444698184,-0.6704431499283505,0.8271241756874179,0.3745081629867692,0.7328913160919241,0.7423819861488221,1662
Anthony Lynn,0.009173969511224456,476,0.16806722689075632,0.15889326,0.021660020257944224,4413,0.6229322456378881,0.6012722,-0.0008328907167163835,2424,0.3741749174917492,0.3750078,0.029541893303394323,180,0.1,0.07045811,0.014885748088961655,0.2852018002757245,0.25179424521949895,0.1779620565981503,0.7439937501750196,0.7419940136870192,7493
Kliff Kingsbury,0.033609300793840724,514,0.2509727626459144,0.21736346,0.02095279117938098,4533,0.6337966026913744,0.6128438,-0.031472717345902346,2402,0.3376353039134055,0.36910802,0.03186440332369371,176,0.10795454545454546,0.07609014,0.013738444487753267,1.3427870644891637,0.2275948989086786,-0.8855952460843595,0.8130714503304938,0.664760849026576,7625
Mike Pettine,0.020166014173373964,271,0.16605166051660517,0.14588565,0.013614958616746664,2137,0.6223678053345811,0.60875285,0.016075057565950734,1108,0.3898916967509025,0.37381664,0.0033412411808967646,60,0.1,0.09665876,0.013299317884242032,0.7609483462836995,-0.023484640573411812,0.7648639371812316,-0.03528417559361483,0.6352001144136594,3576
Cam Cameron,0.031075075940978247,133,0.19548872180451127,0.16441365,0.006922418410235109,1010,0.6217821782178218,0.61485976,0.027662044806835207,551,0.4010889292196007,0.37342688,-0.012807916317667284,28,0.07142857142857142,0.08423649,0.01321290571009532,1.2331033106823333,-0.2524841303645823,1.1670667644124102,-0.5156035928185765,0.629383096435584,1722
Dan Quinn,0.007383098159361334,763,0.2018348623853211,0.19445176,0.0324331324383802,7372,0.6341562669560499,0.60172313,-0.005263302578019324,3986,0.37982940291018563,0.3850927,0.018177862812138207,318,0.11006289308176101,0.09188503,0.013182697707965103,0.20769111994458192,0.6204191793487792,0.024175387175825902,0.4059968916161642,0.6273495809823694,12439
Joe Judge,0.011125811867499613,267,0.2247191011235955,0.21359329,0.018610817084776854,2074,0.6407907425265188,0.6221799,-0.02835983858592267,1104,0.34057971014492755,0.36893955,0.04820906933473082,49,0.1836734693877551,0.1354644,0.012396464925271154,0.36967946461305157,0.14745927682505242,-0.7775422542182754,1.2992058170215146,0.5744226609384646,3494
Mike Mularkey,-0.010006674655952369,401,0.1396508728179551,0.14965755,0.012281744960666585,3225,0.6089922480620155,0.5967105,0.012809522640082283,1646,0.40340218712029163,0.39059266,0.03360431858084417,110,0.12727272727272726,0.09366841,0.012172227881410168,-0.5449554173495137,-0.06910337988676105,0.651512006062147,0.864821213896156,0.5593276708127072,5382
Chuck Pagano,-0.026047942146920328,798,0.11403508771929824,0.14008303,0.06156074937712086,6901,0.6587451094044341,0.59718436,0.01466584171155777,3804,0.3987907465825447,0.3841249,-0.0034090762337048858,255,0.06666666666666667,0.07007574,0.011692393177013354,-1.2392373127549186,1.6170825107568505,0.7159478048827562,-0.23605678722696313,0.527026584425946,11758
Mike Tomlin,-0.00843559352372994,2334,0.13024850042844902,0.1386841,0.03908069072164244,20341,0.6129983776608819,0.5739177,-0.004779919831579049,10801,0.38116841033237664,0.38594833,0.018866153007761066,778,0.08997429305912596,0.07110814,0.01118283259352363,-0.4769574747349904,0.8478795170159332,0.04095437408685403,0.4264684948977981,0.4927244377163191,34254
Dan Campbell,0.08916972065871615,530,0.3433962264150943,0.2542265,-0.010451930103526963,4748,0.5836141533277169,0.5940661,-0.06178650943643632,2476,0.3194668820678514,0.3812534,0.026793725367473514,230,0.08260869565217391,0.05581497,0.010931251621556594,3.747496893997664,-0.8469843981753568,-1.9378353693746158,0.6622558377461403,0.4757887333283092,7984
Mike McCarthy,-0.002437259397617214,2244,0.16354723707664884,0.1659845,0.053107804010769866,20711,0.6356042682632418,0.58249646,-0.010204823533355833,11165,0.37259292431706226,0.38279775,-0.00034848950217990227,942,0.06794055201698514,0.06828904,0.010029307894404229,-0.21734365128261618,1.3278470162515439,-0.14735269495113315,-0.14502669879149863,0.41507248671298974,35062
Joe Philbin,-0.0089537712025555,546,0.14652014652014653,0.15547392,0.048761658961864573,4397,0.6440755060268365,0.59531385,0.004237689841859571,2438,0.3835110746513536,0.37927338,-0.0040785004775370295,155,0.05806451612903226,0.062143017,0.009991769280907904,-0.49938471629893455,1.1791344246126645,0.3539700036136355,-0.25596726631556616,0.4125454956757152,7536
Hue Jackson,-0.004182171123297135,478,0.15271966527196654,0.15690184,0.011680336059848306,3733,0.640503616394321,0.6288233,0.019598532536364843,1964,0.40427698574338083,0.38467845,0.012640286665574638,113,0.11504424778761062,0.10240396,0.009934246034622663,-0.29286515361416726,-0.08968186386945816,0.8871693790806111,0.24129446997015777,0.4086731968809829,6288
Ron Rivera,-0.005129065611469225,1675,0.16059701492537312,0.16572608,0.018268697461999106,14506,0.6065076520060665,0.58823895,0.011121476900305738,7368,0.38721498371335505,0.3760935,0.014626909053982048,563,0.0852575488454707,0.07063064,0.009722004451204417,-0.33384768198153003,0.13575292667306896,0.5929172432546023,0.3003819677501971,0.3943857065055759,24112
Gus Bradley,-0.005321640002576622,553,0.16455696202531644,0.1698786,0.03060935243949625,4092,0.6698435972629521,0.63923424,-0.002702020973991248,2299,0.37233579817311874,0.37503782,0.014453615392408067,124,0.10483870967741936,0.090385094,0.009259826713834112,-0.3421824917675938,0.5580146697980686,0.11308156106375582,0.29522774775182287,0.3632732361401766,7068
Todd Bowles,-0.004810287491758214,973,0.14902363823227133,0.15383393,0.029913043640703574,7968,0.626004016064257,0.596091,-0.0008562963375550736,4311,0.37647877522616563,0.37733507,0.008377570831266584,281,0.07829181494661921,0.069914244,0.008156007660664218,-0.32005065021385043,0.5341889840733144,0.1771496101287863,0.11450982590977773,0.28896732565666133,13533
Giff Smith,-0.01647296856189595,29,0.1724137931034483,0.18888676,0.05016006898442538,218,0.6513761467889908,0.6012161,0.006807199655435026,117,0.358974358974359,0.35216716,-0.007905559614300728,1,0.0,0.00790556,0.00814718511591593,-0.8248230021145395,1.226983996195919,0.4431617917923389,-0.36979430741162667,0.28837341742648503,365
Nick Saban,-0.020461482691093227,142,0.11267605633802817,0.13313754,0.046362379654871555,1046,0.627151051625239,0.5807887,-0.020281307501335666,584,0.3613013698630137,0.38158268,0.026656547418007492,26,0.15384615384615385,0.1271896,0.008069034220112539,-0.9974498316982676,1.0970379828709567,-0.4971235418690392,0.6581757962486507,0.283112524845317,1798
Mike Macdonald,0.029660953502905985,133,0.21052631578947367,0.18086536,0.05321781982195606,1079,0.6654309545875811,0.61221313,-0.0512747830142426,591,0.3164128595600677,0.36768764,-3.976721403210759e-05,43,0.06976744186046512,0.06980721,0.007891055774146834,1.1718986953242934,1.3316114410967002,-1.572956561950964,-0.13584446686759236,0.27113152992052003,1846
Antonio Pierce,-0.00436022836680805,218,0.1834862385321101,0.18784647,0.039295709869632045,1651,0.6438522107813447,0.6045565,-0.05154213838246996,924,0.3203463203463203,0.37188846,0.04620890122539592,53,0.1320754716981132,0.08586657,0.007400561086437489,-0.30057164691870353,0.8552368542400031,-1.5822368936490137,1.2397154330362747,0.23811284424653692,2846
Jim Caldwell,-0.016263099921333207,858,0.11888111888111888,0.13514422,0.05803275064648139,7640,0.6562827225130891,0.59825,-0.008825746662435296,4429,0.36915782343644166,0.37798357,-0.004795631964499704,297,0.05387205387205387,0.058667686,0.007037068024553296,-0.8157396801365164,1.496364534566842,-0.09948273488970934,-0.2772966872418411,0.21364354120254558,13224
Tony Dungy,-0.025878361748449458,318,0.12578616352201258,0.15166453,0.04041017147532677,3477,0.5964912280701754,0.55608106,0.02260300193585585,1907,0.40272679601468275,0.3801238,-0.009824811269534876,163,0.049079754601226995,0.058904566,0.006827500098299572,-1.231897705673355,0.8933705271386181,0.9914593089547897,-0.42687801822639077,0.19953603370509315,5865
Sean McVay,0.0016266507315568224,1059,0.1671388101983003,0.16551216,0.022931229992196656,9410,0.6078639744952179,0.58493274,-0.003293083413916431,5025,0.37154228855721394,0.37483537,0.0032733293151675363,397,0.06801007556675064,0.064736746,0.006134531656251146,-0.0414536083774144,0.2952913885430672,0.09256484006752896,-0.037304057297822824,0.15288739969675624,15891
Bill Cowher,0.002072234464957662,113,0.20353982300884957,0.20146759,-0.0006570828624512526,1042,0.5777351247600768,0.5783922,0.038257554231002966,518,0.45366795366795365,0.4154104,-0.015529274940490723,41,0.0,0.015529275,0.006035857723254663,-0.0221683044473143,-0.5118328784868483,1.5348538136048084,-0.5965441241057909,0.1462449555287224,1714
Greg Schiano,-0.0053073613752018245,275,0.15636363636363637,0.161671,-0.00372818132568542,2066,0.6045498547918683,0.60827804,0.03541610888957092,1078,0.4294990723562152,0.39408296,-0.003726416645017827,74,0.05405405405405406,0.05778047,0.005663537385916462,-0.3415644986767645,-0.616917040774706,1.436222709074517,-0.24549534533362072,0.12118142579710937,3493
Frank Reich,0.02495121625244892,649,0.2295839753466872,0.20463276,0.013764670964713455,5885,0.6149532710280374,0.6011886,-0.031816399342182056,3093,0.3391529259618493,0.37096933,0.0157168081006267,233,0.09871244635193133,0.08299564,0.005654073993901755,0.9680566169505065,-0.018361914337643174,-0.8975249969072838,0.33279849938442935,0.12054437757992574,9860
Matt Rhule,0.01476191800616361,303,0.2607260726072607,0.24596415,0.030492899998815326,2446,0.6369582992641046,0.6064654,-0.04065150753852048,1304,0.33588957055214724,0.37654108,0.01725949526210374,79,0.11392405063291139,0.096664555,0.005465701432140549,0.5270537284153526,0.5540300019921253,-1.204205708777078,0.3786821684505691,0.10786368080124434,4132
Pat Shurmur,-0.004684555711168242,528,0.16856060606060605,0.17324516,0.038201308927656163,4207,0.6512954599477062,0.61309415,-0.03008569209138029,2359,0.3556591776176346,0.38574487,0.01796278470068527,139,0.09352517985611511,0.075562395,0.005348461456448225,-0.3146088546082443,0.8177895995943585,-0.8374493849375207,0.399599889595464,0.09997142426348511,7233
Josh McDaniels,-0.009378791573535966,415,0.18072289156626506,0.19010168,0.020815404788483316,3419,0.6259140099444281,0.6050986,0.010041903734463675,1859,0.3873050026896181,0.3772631,-0.0014527915762020949,117,0.07692307692307693,0.07837587,0.0050064313433022326,-0.5177800176001798,0.22289393149585604,0.5554435349922424,-0.1778716152326083,0.07694694493681689,5810
Scott Linehan,-0.011361283330490801,313,0.15335463258785942,0.16471592,0.012628810283127567,2353,0.6204844878878029,0.6078557,0.03757582872102477,1277,0.4205168363351605,0.382941,-0.019080230183359505,69,0.057971014492753624,0.077051245,0.004940781372575509,-0.6035842182607063,-0.05722780210682564,1.5111900326919094,-0.7021590921311083,0.0725275785252149,4012
Andy Reid,-0.01579962000595317,2379,0.13703236654056325,0.15283199,0.07327623619616297,22197,0.651979997296932,0.57870376,-0.028154740986904347,12108,0.3478691774033697,0.37602392,-0.010303500267836427,999,0.04504504504504504,0.055348545,0.0047545937338672566,-0.7956798117805046,2.0179527963930184,-0.770422989091925,-0.44111551765734536,0.05999396445571481,37683
Herm Edwards,0.00013687013115284974,407,0.15724815724815724,0.15711129,0.010125594271337857,3065,0.5938009787928222,0.5836754,0.002032996442752122,1565,0.38466453674121404,0.38263154,0.006007546616583759,97,0.09278350515463918,0.08677596,0.004575751865456647,-0.10593278370249708,-0.14288065914595094,0.2774415756569611,0.04401892570605357,0.047954846425761755,5134
Raheem Morris,-0.00841956228982449,587,0.19931856899488926,0.20773813,0.013666858897767864,4839,0.624922504649721,0.61125565,-0.008801502572906628,2574,0.3811188811188811,0.38992038,0.021185758941901653,167,0.11377245508982035,0.092586696,0.0044078882442346,-0.47626362710307285,-0.021708762131574525,-0.0986411838333942,0.49545981971316616,0.03665475228791914,8167
Jim Mora,-0.0027958231066968764,277,0.1552346570397112,0.15803048,-0.010218410124447574,2102,0.582778306374881,0.5929967,0.022108570467426536,1026,0.40253411306042886,0.38042554,0.007866566580149434,62,0.04838709677419355,0.04052053,0.00424022595410788,-0.23286264264059886,-0.8389940156875243,0.974296803262831,0.09931118386805561,0.0253682111779065,3467
Matt Patricia,-0.017270541015793284,340,0.15294117647058825,0.17021172,0.008168215418815294,2851,0.6355664679059979,0.62739825,-0.007166454125944688,1532,0.3727154046997389,0.37988186,0.03279597360161271,101,0.0891089108910891,0.056312937,0.004131798469672508,-0.859342725404907,-0.20985653747083216,-0.041886041676368606,0.8407788581648614,0.018069186098324554,4824
Doug Marrone,-0.012836047344737589,864,0.1423611111111111,0.15519716,0.022628772972353883,6749,0.6205363757593717,0.5979076,-0.033138844233761455,3522,0.35178875638841567,0.3849276,0.038992837711966405,221,0.13574660633484162,0.09675377,0.003911679776455311,-0.667413460910232,0.2849421786630334,-0.9434291705456128,1.0250902786443525,0.003251431442817665,11356
Ben McAdoo,0.008753304873459072,257,0.16342412451361868,0.15467082,0.031540352220964074,1868,0.6402569593147751,0.6087166,-0.023326959492220356,1073,0.3699906803355079,0.39331764,-0.0013981309944185727,58,0.06896551724137931,0.07036365,0.0038921416519460544,0.26699501940867504,0.5898708063879377,-0.602842985243742,-0.1762458623851441,0.0019361813330905408,3256
Jim Harbaugh,-0.005351912639735529,746,0.128686327077748,0.13403824,0.0131883290597965,5614,0.5675097969362308,0.55432147,0.021593731439285835,2561,0.39711050370948847,0.37551677,-0.01403016404921164,223,0.03587443946188341,0.049904604,0.0038499959525337916,-0.34349272139361553,-0.03808267776956714,0.9564259185900231,-0.5519565306218097,-0.0009009454213347905,9144
Ken Whisenhunt,-0.012263602826184855,1092,0.13644688644688643,0.14871049,0.04372235323569906,8406,0.6522721865334286,0.60854983,-0.011665208455505893,4776,0.37353433835845895,0.38519955,-0.005500729247835109,322,0.052795031055900624,0.05829576,0.0035732031765433013,-0.6426374969423595,1.0067038669193638,-0.1980449872893875,-0.2982681785563991,-0.019533835636600383,14596
Lovie Smith,-0.017305467093562732,1355,0.12324723247232472,0.1405527,0.01913024582074241,10527,0.5991260568063076,0.5799958,0.017622723537703444,5374,0.3950502419054708,0.37742752,-0.005854653943445268,388,0.04381443298969072,0.049669087,0.0033982120803594633,-0.8608543605351423,0.1652326351984922,0.8185858941065,-0.3087948517622372,-0.03131373080248599,17644
Perry Fewell,-0.05695128711787137,55,0.09090909090909091,0.14786038,-0.0008072374149293848,397,0.5491183879093199,0.5499256,0.0059891879558563454,180,0.4,0.3940108,0.06484709222885696,11,0.09090909090909091,0.026061999,0.003269438912978137,-2.576764595613307,-0.5169707356899861,0.4147672996401569,1.7940654071266224,-0.03998236849327135,643
Rod Marinelli,-0.013134100946254362,377,0.16180371352785147,0.17493781,0.04834597012995867,2939,0.6750595440626064,0.6267136,0.014296407094642305,1675,0.3964179104477612,0.3821215,-0.03723148563780736,97,0.05154639175257732,0.08877788,0.003069197660134814,-0.6803135150680464,1.1649107475810763,0.7031241394802279,-1.2420262921727836,-0.05346203127509577,5088
Brian Billick,-0.011693057483852576,271,0.14391143911439114,0.1556045,0.02078313913264629,2127,0.5853314527503526,0.5645483,-0.013091528839100919,1098,0.3879781420765027,0.40106967,0.01373509554700418,66,0.045454545454545456,0.03171945,0.0024334120891742438,-0.617943731196466,0.2217898934928766,-0.24755484510602457,0.2738570333080724,-0.09626127956387795,3562
Arthur Smith,0.009445210720630398,376,0.1702127659574468,0.16076756,-0.028480084429456598,3177,0.5653131885426503,0.5937933,0.007949060798086327,1509,0.3903247183565275,0.38237566,0.02062652542174441,103,0.0970873786407767,0.07646085,0.0023851781277511343,0.2969413876296817,-1.4638560216730496,0.48279761518043135,0.47882670937793814,-0.09950825053206186,5165
Brian Callahan,0.014387160539627075,128,0.203125,0.18873784,-0.01082398024872222,1084,0.5996309963099631,0.610455,-0.023808398667503783,527,0.35294117647058826,0.37674958,0.028733231127262115,32,0.125,0.09626677,0.002122003187665797,0.5108338552456787,-0.8597148847764756,-0.6195545076967572,0.719941960154009,-0.11722442736677689,1771
John Harbaugh,0.0020838230463269547,2322,0.15633074935400518,0.15424693,0.006610465819123279,20065,0.5744829304759531,0.56787246,-0.010583922112994193,9775,0.3743222506393862,0.38490617,0.008853969989735408,810,0.06419753086419754,0.05534356,0.0017410841855478622,-0.02166673920362875,-0.26315825140073795,-0.1605118119295198,0.12867921933990276,-0.1428667943757188,32972
Mike Munchak,-0.003230585431566041,392,0.12755102040816327,0.1307816,0.03403421337796908,3061,0.6292061417837308,0.5951719,0.0022871285442292444,1651,0.3937007874015748,0.39141366,-0.026626212740535136,111,0.009009009009009009,0.03563522,0.0016161359375242868,-0.25167958532489604,0.6752035671845804,0.28626290665348136,-0.9265969270196841,-0.15127794954290802,5215
Vance Joseph,0.008068522618662921,279,0.1935483870967742,0.18547986,0.007545633999118562,2171,0.6296637494242284,0.6221181,-0.033464178987171356,1150,0.3452173913043478,0.37868157,0.022974885361535205,70,0.11428571428571428,0.09131083,0.001281215748036333,0.23735696729916742,-0.23115948419430482,-0.9547220592748173,0.548673255726567,-0.17382380934460817,3670
Rich Bisaccia,0.009222544964991114,95,0.16842105263157894,0.15919851,0.0349132560079185,847,0.6422668240850059,0.60735357,-0.040511459927809856,475,0.3494736842105263,0.38998514,0.0004169241740153429,26,0.07692307692307693,0.07650615,0.0010103163047787758,0.28730419387587375,0.7052818793876584,-1.1993444326054747,-0.12226123558273336,-0.19205997742208739,1443
