offensive_coach,fourth_down_aggression,fourth_down_plays,actual_decision,predicted_go_rate,pass_heavy_aggression,run_pass_plays,actual_pass,predicted_pass_rate,deep_pass_aggression,pass_plays,actual_beyond,predicted_beyond_rate,composite_aggression,fourth_down_aggression_zscore,pass_heavy_aggression_zscore,deep_pass_aggression_zscore,composite_aggression_zscore,total_plays
Bruce Arians,-0.007429198061347647,378,0.15608465608465608,0.16351385,-0.06942372505063832,3733,0.666220198231985,0.7356439,0.02088372344556061,2208,0.40353260869565216,0.3826489,-0.01865639988880845,-0.7726552650030498,1.9144761028552515,0.5904414197732298,1.425578735603371,6319
Doug Pederson,0.03232840967900824,1056,0.23200757575757575,0.19967917,-0.1035104775110881,9375,0.6325333333333333,0.7360438,0.013880214846404781,5022,0.37335722819593786,0.359477,-0.019100617661891695,2.165353708558474,0.5983006912358477,0.2657451481230403,1.3889465269215406,15453
DeMeco Ryans,-0.008090906808805004,317,0.15457413249211358,0.16266504,-0.10616399688658373,2448,0.6303104575163399,0.73647445,0.05420363223712149,1271,0.4091266719118804,0.35492304,-0.020017090486089083,-0.8215542392725834,0.49584162123980463,2.135217156558682,1.313370028677888,4036
Chuck Pagano,-0.010359142825268869,798,0.11403508771929824,0.12439423,-0.07756102372842266,6919,0.659343835814424,0.73690486,0.027361839664972687,3804,0.3987907465825447,0.3714289,-0.02018610896290628,-0.9891724172587276,1.600274494792718,0.890779479472801,1.2994319998798094,11521
Aaron Kromer,-0.010468802884616685,113,0.12389380530973451,0.13436261,-0.07503306532430609,1091,0.6645279560036663,0.739561,0.023973092169104926,668,0.40718562874251496,0.38321254,-0.020509592013272616,-0.9972760798460051,1.697885339268307,0.733670558723449,1.2727561230372273,1872
Hue Jackson,0.01023783942366982,393,0.178117048346056,0.16787921,-0.09953708070914202,3163,0.6655074296553904,0.7650445,0.025657396126686827,1708,0.3981264637002342,0.37246907,-0.021213948386261793,0.5329040384190756,0.751723554777821,0.8117581640443623,1.2146717076780034,5264
Dan Quinn,0.00911598978454059,846,0.20094562647754138,0.19182964,-0.08009386042907196,8163,0.6361631753031973,0.71625704,0.004793365940640948,4408,0.37862976406533577,0.3738364,-0.022061501567963476,0.45000155775993794,1.5024752869946212,-0.15553882961145662,1.1447786351754157,13417
Mike Pettine,0.028947298267230775,271,0.16605166051660517,0.13710436,-0.12600420571085236,2144,0.6231343283582089,0.74913853,0.02783770638682781,1108,0.3898916967509025,0.362054,-0.02307306701893126,1.915496228870876,-0.2702388390855176,0.9128415856587462,1.0613603684140867,3523
Rod Marinelli,-0.008674779447383513,377,0.16180371352785147,0.1704785,-0.08639420548197774,2945,0.6753820033955857,0.7617762,0.02473219691817441,1675,0.3964179104477612,0.3716857,-0.023445596003728947,-0.8647012782685808,1.2592030875390114,0.768864130391873,1.030639941771945,4997
Marc Trestman,0.004767604429146338,232,0.1939655172413793,0.18919791,-0.07664984635595606,2092,0.6586998087954111,0.73534966,0.00034555631714899837,1184,0.3597972972972973,0.35945174,-0.02384556186988691,0.12866443712418144,1.6354573493241378,-0.3617479291379062,0.9976569456774554,3508
Cam Cameron,0.028944373803031165,133,0.19548872180451127,0.16654435,-0.1346437316167025,1012,0.6215415019762845,0.75618523,0.031462138934490236,551,0.4010889292196007,0.3696268,-0.024745739626393704,1.9152801167215376,-0.6038327060437307,1.0808773235195435,0.9234242124884589,1696
Gus Bradley,0.007994308597163158,570,0.1631578947368421,0.15516359,-0.09900433356746785,4249,0.6686279124499882,0.76763225,0.01380677192111851,2377,0.37484223811527134,0.36103547,-0.02573441768306206,0.3671115253537643,0.7722942644485542,0.2623401913528851,0.8418933438794833,7196
Mike Munchak,0.009560496831426818,392,0.12755102040816327,0.11799052,-0.08127218535489933,3062,0.6293272370999347,0.7105994,-0.005553206824880863,1651,0.3937007874015748,0.399254,-0.02575496511611779,0.4828497537855115,1.4569771922121482,-0.6352260540588232,0.8401989095250245,5105
Matt LaFleur,0.02505565814328778,734,0.23841961852861035,0.21336396,-0.11418340615036693,6895,0.6004350978970269,0.7146185,0.008402290849266136,3569,0.3659288316054917,0.35752654,-0.026908485719271003,1.627911682016693,0.18619202053492626,0.01177794396077028,0.7450743782389233,11198
Joe Philbin,0.005479058982797158,514,0.14396887159533073,0.13848981,-0.10488359504609235,4132,0.6360116166505324,0.7408952,0.01834745036872998,2270,0.38237885462555066,0.3640314,-0.02701902856485507,0.18123952857732242,0.5452811629327933,0.4728548700782778,0.7359585147298782,6916
Tony Dungy,-0.011376328157179011,318,0.12578616352201258,0.13716249,-0.10060973158528319,3486,0.5966724039013196,0.69728214,0.030007329328433974,1907,0.40272679601468275,0.37271947,-0.027326243471342743,-1.064340411581829,0.7103058013539038,1.0134295224124974,0.7106241826825278,5711
Zac Taylor,-0.00941694275160157,799,0.1939924906132666,0.20340943,-0.07483137413424312,6953,0.6598590536459082,0.7346904,0.0020343874887739366,3861,0.34317534317534315,0.34114096,-0.02740464313235692,-0.9195456859573118,1.7056731443814266,-0.2834504333742349,0.7041589916954083,11613
Matt Nagy,0.007557836445895111,528,0.2159090909090909,0.20835125,-0.10164030479230401,4399,0.6321891338940668,0.73382944,0.010625541984596087,2309,0.3642269380684279,0.3536014,-0.027818975453937606,0.33485709230261346,0.6705127727710727,0.11485218801477182,0.6699912726453049,7236
Bill O'Brien,0.0017040222883224487,960,0.15625,0.15454598,-0.12088928797669285,7963,0.6166017832475198,0.7374911,0.03257525262089145,4002,0.4002998500749625,0.3677246,-0.028870004355826318,-0.0977282543014431,-0.07273897570111514,1.1324834376236708,0.5833186710575984,12925
Mike McCarthy,-0.0010364273258587908,2276,0.163884007029877,0.16492043,-0.09205680660890714,21052,0.6375641269238077,0.72962093,0.005844036775770056,11333,0.3729815582811259,0.36713752,-0.02908306571966529,-0.30024208789624146,1.0405557881894958,-0.1068276874649141,0.5657486663997207,34661
Robert Saleh,0.004567065220675237,587,0.21976149914821125,0.21519443,-0.10149692532762289,4338,0.6604426002766252,0.7619395,0.009583193499628606,2434,0.34593262119967133,0.33634943,-0.029115555535773014,0.1138449842565239,0.6760490152207872,0.0665268861981995,0.5630694090718754,7359
Kevin Stefanski,0.021063947743111933,728,0.2760989010989011,0.25503495,-0.13263047708922615,5890,0.6016977928692699,0.73432827,0.02393796895274891,2945,0.36196943972835316,0.33803147,-0.02920952013112177,1.332932138675826,-0.5260958753066185,0.7320421781428161,0.55532066313218,9563
Ron Rivera,-0.0007764364267463242,1675,0.16059701492537312,0.16137345,-0.11281344107221492,14557,0.6070618946211445,0.71987534,0.025638992798056592,7368,0.38721498371335505,0.361576,-0.029316961566968214,-0.2810292720843533,0.2390898245346782,0.8109049499577956,0.546460555911155,23600
Greg Schiano,0.014402225721966144,275,0.15636363636363637,0.14196141,-0.12631494474871718,2070,0.6053140096618358,0.73162895,0.023883742613783565,1078,0.4294990723562152,0.40561533,-0.029342992137655826,0.8406439908245151,-0.2822372564044598,0.7295281396665287,0.5443139572036849,3423
Mike Smith,0.011701120168006174,839,0.14898688915375446,0.13728577,-0.10265554240176378,7838,0.6177596325593263,0.7204152,0.002386258683114706,4240,0.3905660377358491,0.38817978,-0.029522721183547634,0.6410376058554323,0.6313118902560075,-0.2671370008588071,0.5294926863896035,12917
Nick Sirianni,0.021322385470072425,555,0.26666666666666666,0.24534428,-0.13410275765402646,5128,0.5524570982839313,0.68655986,0.024196114270917835,2294,0.3709677419354839,0.34677163,-0.02952808597101207,1.3520301781221493,-0.5829443380824041,0.7440102968602693,0.5290502817272082,7977
Shane Steichen,0.029873626876850523,294,0.25510204081632654,0.22522841,-0.15314755338395358,2211,0.5838986883763003,0.73704624,0.03321461732486425,1085,0.3898617511520737,0.35664713,-0.030019769727412937,1.983950090212414,-1.3183118943824135,1.162125628058008,0.4885038131675913,3590
Mike Macdonald,0.011232523541701456,133,0.21052631578947367,0.19929379,-0.08110680182774865,1083,0.6666666666666666,0.74777347,-0.021242327093069502,591,0.3164128595600677,0.3376552,-0.0303722017930389,0.6064092373163852,1.4633630669643756,-1.3626041652481642,0.4594406694654156,1807
Jim Caldwell,-0.005051950526821031,858,0.11888111888111888,0.12393307,-0.09139987611471667,7656,0.6563479623824452,0.74774784,0.0038954044510748354,4429,0.36915782343644166,0.36526242,-0.030852140730154288,-0.596981350354339,1.0659215300447722,-0.19717006967057663,0.4198627318765653,12943
Sean Payton,0.013686656564955962,2041,0.1798138167564919,0.16612716,-0.09781363263481258,19586,0.6190135811293781,0.7168272,-0.008624376281432644,10784,0.3407826409495549,0.34940702,-0.030917117450429753,0.7877648382801888,0.8182702280423734,-0.777611439616642,0.41450445735262875,32411
Mike Shanahan,0.0023578731321339252,854,0.1451990632318501,0.14284119,-0.11189218970316828,7341,0.6042773464105707,0.71616954,0.01668165479237005,3846,0.39027561102444097,0.37359396,-0.030950887259554766,-0.04940996364787933,0.2746616614606738,0.39562534928627896,0.4117196460056473,12041
Anthony Lynn,0.004916370074549897,467,0.1670235546038544,0.16210718,-0.12320159752290327,4368,0.6243131868131868,0.7475148,0.024790949543499807,2393,0.3727538654408692,0.34796292,-0.031164759301617856,0.139657925565632,-0.16202307433462929,0.771588016301732,0.3940827891512141,7228
Ken Whisenhunt,-0.007147439259035576,257,0.13229571984435798,0.13944316,-0.086570402429747,1972,0.6506085192697769,0.7371789,-0.001163897671108527,1057,0.391674550614948,0.39283845,-0.03162724645329704,-0.751833843981469,1.25239967936672,-0.43172915001822376,0.3559440047991476,3286
Andy Reid,-0.010886081311571455,2379,0.13703236654056325,0.14791845,-0.07138531669507475,22247,0.6524924708949521,0.7238778,-0.012774269042095387,12108,0.3478691774033697,0.36064345,-0.031681889016247196,-1.0281121344414714,1.838734106223542,-0.9700085343096823,0.351437931674232,36734
Darrell Bevell,-0.010258059479572146,135,0.23703703703703705,0.2472951,-0.10971281104469655,1074,0.6582867783985102,0.7679996,0.02427418110969659,601,0.3594009983361065,0.33512682,-0.03189889647152403,-0.9817025569322689,0.3588129635307896,0.7476296272476175,0.3335425144511928,1810
Jay Gruden,-0.002085970330174436,746,0.14745308310991956,0.14953905,-0.09355928331724872,6157,0.6261166152346922,0.7196759,-0.0014623834817052428,3270,0.3498470948012232,0.35130948,-0.03236921237637613,-0.37780125053388974,0.9825413762168524,-0.44556753237602087,0.2947581356692627,10173
Sean McVay,-0.00357579167605121,1059,0.1671388101983003,0.1707146,-0.11667947897746367,9438,0.60817969908879,0.7248592,0.02288143207184712,5025,0.37154228855721394,0.34866086,-0.03245794619388925,-0.4878961161951979,0.0898123585401998,0.6830590747121896,0.2874407433512679,15522
Bill Cowher,0.014866803599669881,113,0.20353982300884957,0.18867302,-0.15151661760289925,1042,0.5777351247600768,0.72925174,0.035904333052948156,518,0.45366795366795365,0.41776362,-0.03358182698342707,0.87497538175039,-1.2553373538935635,1.2868260773175388,0.1947604452846382,1673
Bill Belichick,0.0022615137554350406,2352,0.15476190476190477,0.15250039,-0.10831611540967534,21876,0.5995611629182666,0.7078773,0.004421380797946184,11542,0.35305839542540285,0.348637,-0.03387774028543137,-0.056530731961631595,0.4127429016926606,-0.17278478386884302,0.17035809470890026,35770
Jim Mora,0.012515298833915917,277,0.1552346570397112,0.14271936,-0.14010777983133127,2105,0.5833729216152019,0.7234807,0.021532342564060447,1026,0.40253411306042886,0.38100177,-0.03535337947778497,0.7012038070551366,-0.8148133770930366,0.6205126628532077,0.048670206225305636,3408
Chris Tabor,0.004762436662401448,168,0.30357142857142855,0.298809,-0.1256591060796679,1145,0.6331877729257642,0.7588469,0.014225892378733729,585,0.36923076923076925,0.35500488,-0.03555692567951091,0.1282825493313113,-0.2569136726693002,0.2817714304287372,0.03188486491339623,1898
Joe Judge,-0.00505893535158608,267,0.2247191011235955,0.22977804,-0.11527905330255062,2083,0.6409025444071051,0.7561816,0.013258836407592345,1104,0.34057971014492755,0.32732087,-0.03569305074884812,-0.5974975151591353,0.14388632294205078,0.23693683590214393,0.02065937541490457,3454
Pete Carroll,-0.0010204285749189912,1873,0.12920448478376936,0.13022491,-0.11562975428044053,15644,0.6030427000767067,0.71867245,0.008014774646091238,7626,0.3815892997639654,0.37357453,-0.036211802736422764,-0.2990598116855127,0.13034487441405868,-0.006188060448804248,-0.02211926203368657,25143
Tom Coughlin,-0.0010570093262486369,1271,0.12195121951219512,0.12300823,-0.13310713983996547,11226,0.5911277391769107,0.7242349,0.02525401148852008,5883,0.4099949005609383,0.3847409,-0.03630337922589801,-0.3017630572220149,-0.5445010253098607,0.7930564681444684,-0.029671073951347226,18380
Mike Mularkey,0.005383989683113183,401,0.1396508728179551,0.13426688,-0.11447271657748226,3239,0.6100648348255634,0.72453755,0.00011951495346729235,1646,0.40340218712029163,0.40328267,-0.03632307064696726,0.1742140944162471,0.17502101587743885,-0.3722276461236212,-0.031294917681965864,5286
Ben McAdoo,0.015432055279562706,299,0.16387959866220736,0.14844754,-0.11343947308014402,2185,0.6379862700228833,0.75142574,-0.011330182572380831,1249,0.36509207365892715,0.37642226,-0.03644586679098738,0.9167463685434446,0.21491715109859655,-0.9030578786464167,-0.0414212436545785,3733
Todd Bowles,-0.006325790802176184,947,0.14994720168954592,0.15627299,-0.11933706469820493,7806,0.6292595439405585,0.7485966,0.01517664596547691,4227,0.3749704281996688,0.35979378,-0.036828736511634735,-0.6911156399302847,-0.012803723293027607,0.32585021472704817,-0.07299441419064281,12980
Brian Billick,-0.0019296378557092653,271,0.14391143911439114,0.14584108,-0.12185086112626842,2130,0.5859154929577465,0.70776635,0.012322431379328647,1098,0.3879781420765027,0.3756557,-0.037152689200883014,-0.36624858831544516,-0.10986773818481727,0.19352327866479554,-0.09970901958163252,3499
Jerry Rosburg,-0.01899607442550777,161,0.18012422360248448,0.1991203,-0.13045189943872593,1126,0.6287744227353463,0.7592263,0.03663652790220162,570,0.3631578947368421,0.32652137,-0.03760381532067736,-1.6274246660171898,-0.44197550217283454,1.3207720537246683,-0.13691092180951556,1857
Jim Schwartz,-0.014119657841863725,647,0.14219474497681608,0.1563144,-0.1016124870616888,5639,0.6543713424366022,0.7559838,0.0023114239553549965,3290,0.38662613981762917,0.38431472,-0.03780690698273251,-1.2670670767191827,0.6715868854512199,-0.27060648429693174,-0.15365877972232767,9576
Jim Harbaugh,0.0010507139939085752,746,0.128686327077748,0.12763561,-0.13571685868537708,5622,0.5675916044112416,0.70330846,0.021189850366287788,2561,0.39711050370948847,0.37592065,-0.037825431441726905,-0.14600645162219952,-0.6452688464613751,0.6046340588489996,-0.15518639047705,8929
Matt Eberflus,0.011098492159970441,413,0.24939467312348668,0.23829618,-0.14622677981487808,3260,0.588957055214724,0.73518384,0.020916239772477196,1451,0.36044107512060647,0.33952484,-0.038070682627476815,0.5965045819649804,-1.051083386428434,0.5919489398923381,-0.175410913583138,5124
Leslie Frazier,0.005504587689019236,391,0.14578005115089515,0.14027546,-0.14536291697989734,3147,0.5973943438195106,0.74275726,0.025564395043314703,1568,0.3909438775510204,0.36537948,-0.03809797808252113,0.18312604972954327,-1.0177274654226791,0.8074464530493909,-0.17766182038119088,5106
Matt Patricia,-0.02401617153094765,366,0.15846994535519127,0.18248612,-0.11317674963256164,3170,0.6416403785488959,0.7548171,0.022307783591420216,1713,0.37769994162288384,0.35539216,-0.03829504585736302,-1.9983999631289815,0.22506156547673425,0.6564636161366317,-0.19391292128236792,5249
Josh McDaniels,-0.012779931358571334,530,0.17547169811320754,0.18825163,-0.13038504304989307,4241,0.6168356519688752,0.7472207,0.028173535249688297,2274,0.3834652594547054,0.35529172,-0.03833047971959203,-1.1680639260332397,-0.43939400852090704,0.9284112645046416,-0.19683495798199618,7045
Mike Tomlin,-0.0039358004710566,2334,0.13024850042844902,0.1341843,-0.11406612620458334,20416,0.6140282131661442,0.72809434,0.0028877408816167516,10801,0.38116841033237664,0.37828067,-0.038371395264674396,-0.5145000576897281,0.1907204947888323,-0.24388731138570766,-0.20020903906701193,33551
Dan Campbell,0.038794110068735066,530,0.3433962264150943,0.30460212,-0.1287858548404286,4770,0.5842767295597484,0.7130626,-0.02523148743516984,2476,0.3194668820678514,0.34469837,-0.038407744068954454,2.6431562435962026,-0.3776453217754925,-1.5475493925947688,-0.2032065260303995,7776
Pat Shurmur,0.0015995394899731563,525,0.16952380952380952,0.16792427,-0.10423879637174616,4158,0.6522366522366523,0.75647545,-0.01404650959409759,2321,0.3571736320551486,0.37122014,-0.03889525549195686,-0.10544932748919049,0.5701784646515163,-1.0289920792041778,-0.2434089250885155,7004
Jerod Mayo,0.0020366670454249614,136,0.22794117647058823,0.22590451,-0.1265354300823317,1082,0.6349353049907579,0.76147074,0.007643150310588764,527,0.33206831119544594,0.32442516,-0.03895187090877266,-0.07314646135862085,-0.2907507507616251,-0.023417286983441032,-0.24807768867492103,1745
Marty Schottenheimer,0.0149843472926343,122,0.10655737704918032,0.09157303,-0.18053768207077125,1097,0.5022789425706472,0.6828166,0.04684160652786795,495,0.43232323232323233,0.38548163,-0.039570576083422994,0.8836616293478401,-2.3759137865107136,1.7938993348206465,-0.29909891844924624,1714
Lovie Smith,-0.011418301427936206,1355,0.12324723247232472,0.13466553,-0.12745538099844234,10545,0.5995258416311048,0.7269812,0.019623919683714797,5374,0.3950502419054708,0.37542632,-0.03974992091422125,-1.0674421536921619,-0.3262723739226009,0.5320344686442594,-0.3138885051472509,17274
Wade Phillips,0.0022424072766107084,484,0.1384297520661157,0.13618734,-0.10399531034471365,4323,0.6074485311126533,0.71144384,-0.021061247664780514,2305,0.3488069414316703,0.3698682,-0.040938050244294484,-0.057942663147372224,0.5795800737436384,-1.3542089709815262,-0.4118670287397544,7112
Norv Turner,-0.003268406622939646,675,0.1111111111111111,0.11437952,-0.14546869846524735,6469,0.5776781573658989,0.72314686,0.02557902837145154,3312,0.40851449275362317,0.38293546,-0.041052692238911816,-0.46518096566908185,-1.0218119551429539,0.8081248825851863,-0.42132092663621784,10456
Marvin Lewis,-0.002344991530527918,1672,0.12858851674641147,0.13093351,-0.1270351768400384,13855,0.6010104655359076,0.72804564,0.00620599370618663,7169,0.3780164597572883,0.37181047,-0.041058058221459894,-0.3969424075157458,-0.3100472324459174,-0.09004666062097268,-0.42176342985062076,22696
Matt Rhule,0.0066886976770034745,401,0.2344139650872818,0.22772527,-0.12095750039643027,3172,0.6021437578814628,0.72310126,-0.010407208781305022,1599,0.3395872420262664,0.34999445,-0.04155867050024394,0.2706294476477798,-0.07537282912348585,-0.8602670196719194,-0.46304618478818005,5172
Jeff Fisher,0.007730228962465863,794,0.13224181360201512,0.124511585,-0.1406580753837593,6082,0.5572180203880303,0.6978761,0.007832319620099004,2909,0.4042626332072877,0.3964303,-0.041698508933731476,0.34759656002832395,-0.8360616751252313,-0.014647030098767652,-0.47457789510607323,9785
Jack Del Rio,0.02074700720766756,752,0.1981382978723404,0.17739129,-0.1638259448004451,6290,0.5620031796502385,0.7258291,0.0179434998996848,2956,0.39377537212449254,0.37583187,-0.041711812564364244,1.309510856809418,-1.7306314966777967,0.4541269411590324,-0.47567497271776576,9998
Antonio Pierce,-0.00341257014695337,136,0.19852941176470587,0.20194198,-0.10277789250177594,1108,0.674187725631769,0.7769656,-0.019584427750299838,630,0.3253968253968254,0.34498125,-0.04192496346634305,-0.4758343663962752,0.6265876445704726,-1.2857407291936278,-0.49325236109602133,1874
John Harbaugh,0.0034059732767346695,2322,0.15633074935400518,0.15292478,-0.13070070421245417,20120,0.5747017892644135,0.7054025,0.0014646799911928188,9775,0.3743222506393862,0.37285757,-0.041943350314842226,0.028042574496221623,-0.45158248147819946,-0.30986318032481985,-0.49476862386630177,32217
Frank Reich,0.010410792604694519,615,0.22601626016260162,0.21560547,-0.13124559689106252,5671,0.6039499206489155,0.7351955,-0.0050804772499508655,2939,0.33991153453555634,0.344992,-0.04197176051210629,0.5456849381446089,-0.4726221609368946,-0.6133093921021219,-0.4971114573545832,9225
Mike Vrabel,0.006922225393946213,756,0.17063492063492064,0.1637127,-0.14008496873697895,6507,0.5544797909943138,0.69456476,0.0072083010296987715,2957,0.3868785931687521,0.3796703,-0.04198481410444466,0.2878866863738581,-0.8139325832557978,-0.04357774487904005,-0.4981879156765173,10220
Herm Edwards,-0.0001836687472880072,407,0.15724815724815724,0.15743183,-0.13835791602091296,3076,0.5946033810143043,0.7329613,0.012574614313082932,1565,0.38466453674121404,0.37208992,-0.04198899015170601,-0.23722490707176697,-0.7472467256900469,0.20521496965146657,-0.4985322914399664,5048
Dennis Allen,-0.0062942666771971245,405,0.1728395061728395,0.17913377,-0.1506020340212526,3251,0.5915103045216856,0.74211234,0.024753260404980604,1666,0.3679471788715486,0.34319392,-0.04404768009782304,-0.6887860691302252,-1.2200229770420048,0.7698406745821305,-0.6683011847327898,5322
Raheem Morris,-0.006882394826601412,504,0.2003968253968254,0.20727922,-0.11444274011600786,4103,0.6210090177918596,0.73545176,-0.011480571168949183,2152,0.38382899628252787,0.39530957,-0.04426856870385282,-0.7322475820018863,0.1761784825960927,-0.910030186299517,-0.6865166592181051,6759
Gary Kubiak,0.004136468408294541,1302,0.1336405529953917,0.12950408,-0.12969713183719978,10988,0.5930105569712414,0.7227077,-0.008606331215964436,5760,0.3628472222222222,0.37145355,-0.04472233154828989,0.08202472718714954,-0.4128320230523667,-0.7767748353066369,-0.7239359976973081,18050
Chan Gailey,0.00954677057529682,362,0.16022099447513813,0.15067422,-0.1283386764198552,3011,0.6144138160079707,0.7427525,-0.015971148874073138,1601,0.37414116177389134,0.3901123,-0.044921018239543836,0.48183541046921574,-0.3603786360609055,-1.1182220972204178,-0.7403206017751667,4974
Mike Holmgren,-0.011711371209576868,428,0.10046728971962617,0.11217866,-0.13421975520681995,3329,0.5845599279062782,0.7187797,0.010486083361292864,1702,0.40246768507638075,0.3919816,-0.04514834768503465,-1.0890994338274047,-0.5874619084313277,0.10838661516725892,-0.7590672170421424,5459
Mike Nolan,-0.002212046000459031,397,0.11838790931989925,0.120599955,-0.11962590697767861,2855,0.611908931698774,0.73153484,-0.013875157872507371,1452,0.359504132231405,0.3733793,-0.045237703616881675,-0.38711799446533957,-0.023956651590331828,-1.0210478803282186,-0.7664359117246178,4704
Jason Garrett,-0.014420843376362624,1029,0.12536443148688048,0.13978527,-0.12150147800817623,9740,0.6054414784394251,0.72694296,-9.4255499562379e-05,5054,0.36426592797783935,0.36436018,-0.04533885896136708,-1.2893240950197704,-0.09637717554464187,-0.3821384598400594,-0.7747776393929012,15823
Arthur Smith,-0.012468392227558384,376,0.1702127659574468,0.18268116,-0.1551342880090576,3190,0.5661442006269592,0.7212785,0.030938035846151513,1509,0.3903247183565275,0.35938668,-0.045554881463488156,-1.145041797324964,-1.3950247248583822,1.0565788856245082,-0.7925918329195243,5075
Vance Joseph,0.01661126892412862,279,0.1935483870967742,0.17693712,-0.1377241035949861,2179,0.630105553005966,0.76782966,-0.015801594205524627,1150,0.3452173913043478,0.361019,-0.04563814295879404,1.0038879363185138,-0.722773630708303,-1.1103612132164742,-0.7994579527733886,3608
Jim Tomsula,-0.013077443023379764,139,0.14388489208633093,0.15696234,-0.09187754785200675,996,0.6546184738955824,0.746496,-0.032002274527749175,526,0.33840304182509506,0.37040532,-0.04565242180104523,-1.1900494525934595,1.0474774205281443,-1.8614562428501862,-0.8006354507502257,1661
Adam Gase,-0.005110738266380338,647,0.13446676970633695,0.13957751,-0.14027423126536787,4924,0.6183996750609261,0.7586739,0.006982774339752085,2579,0.36603334625823963,0.35905057,-0.046134065063998704,-0.6013256486201857,-0.8212404864212705,-0.05403360059000813,-0.8403539347637031,8150
Chip Kelly,-0.001999635880663847,537,0.1266294227188082,0.12862906,-0.12381432790186708,4471,0.6038917468127936,0.7277061,-0.01327799564146337,2273,0.3827540695116586,0.39603207,-0.04636398647466477,-0.37142130461143585,-0.18568213835605896,-0.9933622785694561,-0.8593142952136704,7281
Mike Zimmer,0.005135877587449239,1006,0.1540755467196819,0.14893967,-0.13824636903377852,8720,0.596788990825688,0.73503536,-0.0070027685141202944,4433,0.33182946086171894,0.33883223,-0.04670441998681652,0.1558790988030705,-0.7429396154167249,-0.70243055154166,-0.8873879838751424,14159
Mike Singletary,0.004425195186105485,292,0.14383561643835616,0.13941042,-0.1030135289992693,1930,0.6176165803108808,0.7206301,-0.04167623066295023,1021,0.33594515181194906,0.37762138,-0.046754854825371346,0.10336106788591372,0.6174891255947875,-2.3099596529246558,-0.8915470689967288,3243
Mike McCoy,-0.01582661738146597,469,0.11940298507462686,0.1352296,-0.12608104074552817,4496,0.6189946619217082,0.7450757,0.0006200169777800801,2403,0.3591344153141906,0.3585144,-0.04709588038307135,-1.393208027593531,-0.2732056333997771,-0.34902339943113864,-0.9196695804144859,7368
