year,child_id,child_name,child_role,parent_id,parent_name,parent_role,team,relationship_type,parent_aggression,parent_fourth_down,parent_pass_heavy,parent_deep_pass,parent_two_point,parent_seasons,child_aggression,child_fourth_down,child_pass_heavy,child_deep_pass,child_two_point,child_seasons
2007,anthony_lynn,Anthony Lynn,Running Backs,rob_chudzinski,Rob Chudzinski,Offensive Coordinator,cle,position_to_coordinator,0.024627488355318,0.021051633196908,0.0762690481654521,0.0013713571174306,-0.0001820850585188,1,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2007,anthony_lynn,Anthony Lynn,Running Backs,romeo_crennel,Romeo Crennel,Head Coach,cle,position_to_hc,-0.014700134126963684,-0.0156714232851935,-0.003744937890917434,-0.006234233218179566,-0.03314994211356432,6,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2009,anthony_lynn,Anthony Lynn,Running Backs,rex_ryan,Rex Ryan,Head Coach,nyj,position_to_hc,-0.0134607594853221,-0.018455281384676687,-0.045557960629648786,0.0226605911892939,-0.012490387116256937,8,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2012,anthony_lynn,Anthony Lynn,Running Backs,tony_sparano,Tony Sparano,Offensive Coordinator,nyj,position_to_coordinator,-0.00568423405941176,-0.013486742364460961,-0.0013244655280923987,0.013256613929038139,-0.021182342274131922,5,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2016,anthony_lynn,Anthony Lynn,Offensive Coordinator,rex_ryan,Rex Ryan,Head Coach,buf,coordinator_to_hc,-0.0134607594853221,-0.018455281384676687,-0.045557960629648786,0.0226605911892939,-0.012490387116256937,8,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2021,anthony_lynn,Anthony Lynn,Offensive Coordinator,dan_campbell,Dan Campbell,Head Coach,det,coordinator_to_hc,0.013597577291353724,0.08498673925394312,0.005610849369711675,-0.057064144449238026,0.020856864990998175,4,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2022,anthony_lynn,Anthony Lynn,Asst. Head Coach/Running Backs,kyle_shanahan,Kyle Shanahan,Head Coach,sfo,position_to_hc,-0.005730871889660337,0.0037490315156206884,-0.0027349668949933252,-0.012949021670079988,-0.010988530509188738,8,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2024,anthony_lynn,Anthony Lynn,Run Game Coordinator/RB,kliff_kingsbury,Kliff Kingsbury,Offensive Coordinator,was,position_to_coordinator,0.01759919184835095,0.02869434241346935,0.03825333321445275,-0.016999087569807926,0.02044817933528975,4,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2024,anthony_lynn,Anthony Lynn,Run Game Coordinator/RB,dan_quinn,Dan Quinn,Head Coach,was,position_to_hc,0.01986873711172047,0.009568057016600972,0.04486261048699873,0.01480983791444483,0.010234443028837316,7,0.01684287199385284,0.04028429213189226,0.0185923716006632,0.02907914548731456,-0.020584321244458498,5
2022,antonio_pierce,Antonio Pierce,Linebackers,josh_mcdaniels,Josh McDaniels,Head Coach,rai,position_to_hc,0.0107907756604121,-0.006283342886321575,0.023455635768959576,0.020896241014663648,0.00509456874434675,4,0.00299794786049095,-0.01281798302785225,0.025302450834792403,-0.05291397467492115,0.05242129830994465,2
1988,art_shell,Art Shell,Offensive Line,mike_shanahan,Mike Shanahan,Head Coach,rai,position_to_hc,-0.0012391654194386429,-0.003905492795525057,0.001404131308057572,0.015133389676876085,-0.017588689867163186,7,-0.0105823311683353,-0.0027587183817165,-0.0202666722978588,0.0342027756414915,-0.0535067096352577,1
1995,art_shell,Art Shell,Offensive Line,marty_schottenheimer,Marty Schottenheimer,Head Coach,kan,position_to_hc,-0.0004367875325479,0.0020245615331852,-0.0308279777965406,0.0454250127378136,-0.0183687466046502,1,-0.0105823311683353,-0.0027587183817165,-0.0202666722978588,0.0342027756414915,-0.0535067096352577,1
2013,arthur_smith,Arthur Smith,OL/Tight Ends,mike_munchak,Mike Munchak,Head Coach,oti,position_to_hc,-0.0001861805126903331,-0.0058104821535890664,0.02050585825414063,0.015634504695433097,-0.03107460284674603,3,0.008047967126391033,0.014761097829644035,-0.03241419319100666,0.031342386826790365,0.018502577040136466,3
2016,arthur_smith,Arthur Smith,Tight Ends,mike_mularkey,Mike Mularkey,Head Coach,oti,position_to_hc,0.011328040393100867,-0.008867259887631667,0.004071011295315,0.024808189070540537,0.02530022109417977,3,0.008047967126391033,0.014761097829644035,-0.03241419319100666,0.031342386826790365,0.018502577040136466,3
2018,arthur_smith,Arthur Smith,Tight Ends,matt_lafleur,Matt LaFleur,Offensive Coordinator,oti,position_to_coordinator,0.027037674779187833,0.05605756600965775,0.03991244416989676,-0.011016340233767416,0.023197029170964303,6,0.008047967126391033,0.014761097829644035,-0.03241419319100666,0.031342386826790365,0.018502577040136466,3
2018,arthur_smith,Arthur Smith,Tight Ends,mike_vrabel,Mike Vrabel,Head Coach,oti,position_to_hc,-0.0029070640384788204,0.012956487121231765,-0.03543503778353615,0.0125269840989396,-0.0016766895905505168,6,0.008047967126391033,0.014761097829644035,-0.03241419319100666,0.031342386826790365,0.018502577040136466,3
2019,arthur_smith,Arthur Smith,Offensive Coordinator,mike_vrabel,Mike Vrabel,Head Coach,oti,coordinator_to_hc,-0.0029070640384788204,0.012956487121231765,-0.03543503778353615,0.0125269840989396,-0.0016766895905505168,6,0.008047967126391033,0.014761097829644035,-0.03241419319100666,0.031342386826790365,0.018502577040136466,3
2024,arthur_smith,Arthur Smith,Offensive Coordinator,mike_tomlin,Mike Tomlin,Head Coach,pit,coordinator_to_hc,0.010746942974272845,-0.007511941234137011,0.034998551699147756,0.003828429787893672,0.011672731644187077,18,0.008047967126391033,0.014761097829644035,-0.03241419319100666,0.031342386826790365,0.018502577040136466,3
2006,ben_mcadoo,Ben McAdoo,TE Coach,mike_mccarthy,Mike McCarthy,Head Coach,gnb,position_to_hc,0.01409722695973019,-0.0009851269677942443,0.06201186255384307,-0.0018641847293036492,-0.00277364301782425,18,0.00627712921179255,0.0066559135344848,0.04022679915484985,-0.0196795034965277,-0.0020946923456367,2
2007,ben_mcadoo,Ben McAdoo,TE Coach,joe_philbin,Joe Philbin,Offensive Coordinator,gnb,position_to_coordinator,0.014402701699970641,-0.015972132480128597,0.05987251486603908,0.013461001957652203,0.00024942245631994045,5,0.00627712921179255,0.0066559135344848,0.04022679915484985,-0.0196795034965277,-0.0020946923456367,2
2014,ben_mcadoo,Ben McAdoo,Offensive Coordinator,tom_coughlin,Tom Coughlin,Head Coach,nyg,coordinator_to_hc,-0.0013094089427875299,-0.01100883557899762,0.00994903831850901,0.027505310970668863,-0.03168314948133033,10,0.00627712921179255,0.0066559135344848,0.04022679915484985,-0.0196795034965277,-0.0020946923456367,2
2020,ben_mcadoo,Ben McAdoo,Quarterbacks,jay_gruden,Jay Gruden,Offensive Coordinator,jax,position_to_coordinator,-0.00030118663345085037,-0.014449245894846884,0.026429718252392986,-0.023855129975124633,0.0106699110837752,6,0.00627712921179255,0.0066559135344848,0.04022679915484985,-0.0196795034965277,-0.0020946923456367,2
2020,ben_mcadoo,Ben McAdoo,Quarterbacks,doug_marrone,Doug Marrone,Head Coach,jax,position_to_hc,0.008672248259083443,-0.004784795065349086,0.028011683774566483,-0.017729240279920858,0.029191344607037296,7,0.00627712921179255,0.0066559135344848,0.04022679915484985,-0.0196795034965277,-0.0020946923456367,2
2022,ben_mcadoo,Ben McAdoo,Offensive Coordinator,matt_rhule,Matt Rhule,Head Coach,car,coordinator_to_hc,0.018554330133744232,0.012151599585752034,0.03977516185105827,-0.022195412516638664,0.04448597161480553,3,0.00627712921179255,0.0066559135344848,0.04022679915484985,-0.0196795034965277,-0.0020946923456367,2
1983,bill_belichick,Bill Belichick,Linebackers/Special Teams,bill_parcells,Bill Parcells,Head Coach,nyg,position_to_hc,0.0182480685733467,0.0210419523495214,0.0042783999034582,0.034513027379007,0.0131588946614,1,0.004659168034026228,-0.0035172808318392557,0.046579340605060256,-0.017860727998238027,-0.0065646596388779415,18
1985,bill_belichick,Bill Belichick,Defensive Coordinator,bill_parcells,Bill Parcells,Head Coach,nyg,coordinator_to_hc,0.0182480685733467,0.0210419523495214,0.0042783999034582,0.034513027379007,0.0131588946614,1,0.004659168034026228,-0.0035172808318392557,0.046579340605060256,-0.017860727998238027,-0.0065646596388779415,18
1995,bill_callahan,Bill Callahan,Offensive Line,jon_gruden,Jon Gruden,Offensive Coordinator,phi,position_to_coordinator,-0.0152724226048563,-0.011340200320770271,0.021874390714598572,-0.05066816976171135,-0.020955711051542116,7,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
1998,bill_callahan,Bill Callahan,Offensive Coordinator,jon_gruden,Jon Gruden,Head Coach,rai,coordinator_to_hc,-0.0152724226048563,-0.011340200320770271,0.021874390714598572,-0.05066816976171135,-0.020955711051542116,7,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
2008,bill_callahan,Bill Callahan,Assistant Head Coach/Offensive Line,eric_mangini,Eric Mangini,Head Coach,nyj,position_to_hc,-0.0115216504418782,-0.01278322720254206,-0.02645786026733536,-0.014689727504144278,0.00784421320650874,5,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
2009,bill_callahan,Bill Callahan,Assistant Head Coach,rex_ryan,Rex Ryan,Head Coach,nyj,position_to_hc,-0.0134607594853221,-0.018455281384676687,-0.045557960629648786,0.0226605911892939,-0.012490387116256937,8,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
2012,bill_callahan,Bill Callahan,Offensive Coordinator,jason_garrett,Jason Garrett,Head Coach,dal,coordinator_to_hc,-0.00780388667202535,-0.025971769004268463,0.020749010418518617,-0.004872054492666941,-0.02112073360968455,10,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
2015,bill_callahan,Bill Callahan,Offensive Line,sean_mcvay,Sean McVay,Offensive Coordinator,was,position_to_coordinator,0.011279884349732474,0.0035515109048034504,0.040144324962959325,0.0027081450667686257,-0.0012844435356014496,8,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
2015,bill_callahan,Bill Callahan,Offensive Line,jay_gruden,Jay Gruden,Head Coach,was,position_to_hc,-0.00030118663345085037,-0.014449245894846884,0.026429718252392986,-0.023855129975124633,0.0106699110837752,6,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
2019,bill_callahan,Bill Callahan,Asst. HC/Offensive Line/Interim HC,kevin_o'connell,Kevin O'Connell,Offensive Coordinator,was,position_to_coordinator,0.023658066612577532,0.019034722910635165,0.07393352490793177,0.017401038390369633,-0.015737019758626434,3,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
2020,bill_callahan,Bill Callahan,Offensive Line,kevin_stefanski,Kevin Stefanski,Head Coach,cle,position_to_hc,0.02627811798689958,0.04606925132702715,0.0062169360749020795,0.00100521701351396,0.05182106753215522,5,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
2024,bill_callahan,Bill Callahan,Offensive Line,brian_callahan,Brian Callahan,Head Coach,oti,position_to_hc,-0.0018513560544158,0.0108092129230499,-0.0293852838642922,-0.0146709470187916,0.0258415937423706,1,0.0096221790236413,0.0076000068994129,-0.039271126989383,0.0058570058648801,0.0643028303196555,1
1985,bill_cowher,Bill Cowher,Special Teams,marty_schottenheimer,Marty Schottenheimer,Head Coach,cle,position_to_hc,-0.0004367875325479,0.0020245615331852,-0.0308279777965406,0.0454250127378136,-0.0183687466046502,1,0.0044255642045028,0.0026636913550638,-0.0213594449229981,0.0527471155503541,-0.0163491051644086,1
1989,bill_cowher,Bill Cowher,Defensive Coordinator,marty_schottenheimer,Marty Schottenheimer,Head Coach,kan,coordinator_to_hc,-0.0004367875325479,0.0020245615331852,-0.0308279777965406,0.0454250127378136,-0.0183687466046502,1,0.0044255642045028,0.0026636913550638,-0.0213594449229981,0.0527471155503541,-0.0163491051644086,1
2008,bill_o'brien,Bill O'Brien,Wide Receivers,josh_mcdaniels,Josh McDaniels,Offensive Coordinator,nwe,position_to_coordinator,0.0107907756604121,-0.006283342886321575,0.023455635768959576,0.020896241014663648,0.00509456874434675,4,0.0027179785210779714,-0.006649220869125457,0.0153893456288535,0.028949957565114183,-0.02681816824053027,7
2008,bill_o'brien,Bill O'Brien,Wide Receivers,bill_belichick,Bill Belichick,Head Coach,nwe,position_to_hc,0.004659168034026228,-0.0035172808318392557,0.046579340605060256,-0.017860727998238027,-0.0065646596388779415,18,0.0027179785210779714,-0.006649220869125457,0.0153893456288535,0.028949957565114183,-0.02681816824053027,7
2011,bill_o'brien,Bill O'Brien,Offensive Coordinator,bill_belichick,Bill Belichick,Head Coach,nwe,coordinator_to_hc,0.004659168034026228,-0.0035172808318392557,0.046579340605060256,-0.017860727998238027,-0.0065646596388779415,18,0.0027179785210779714,-0.006649220869125457,0.0153893456288535,0.028949957565114183,-0.02681816824053027,7
1999,bobby_petrino,Bobby Petrino,Quarterbacks,tom_coughlin,Tom Coughlin,Head Coach,jax,position_to_hc,-0.0013094089427875299,-0.01100883557899762,0.00994903831850901,0.027505310970668863,-0.03168314948133033,10,-0.0128890025348601,-0.0074724023992365,0.0162049772923739,-0.0815490738109306,0.0212604887783527,1
2001,bobby_petrino,Bobby Petrino,Offensive Coordinator,tom_coughlin,Tom Coughlin,Head Coach,jax,coordinator_to_hc,-0.0013094089427875299,-0.01100883557899762,0.00994903831850901,0.027505310970668863,-0.03168314948133033,10,-0.0128890025348601,-0.0074724023992365,0.0162049772923739,-0.0815490738109306,0.0212604887783527,1
1999,brad_childress,Brad Childress,Quarterbacks,andy_reid,Andy Reid,Head Coach,phi,position_to_hc,0.008568361155031137,-0.013683937525909433,0.08314618200902871,-0.021143693941084632,-0.014045105921910021,19,-0.018813173699576,-0.01062071282726034,-0.028669969760074042,-0.03211249219303538,-0.00384952001793436,5
2002,brad_childress,Brad Childress,Offensive Coordinator,andy_reid,Andy Reid,Head Coach,phi,coordinator_to_hc,0.008568361155031137,-0.013683937525909433,0.08314618200902871,-0.021143693941084632,-0.014045105921910021,19,-0.018813173699576,-0.01062071282726034,-0.028669969760074042,-0.03211249219303538,-0.00384952001793436,5
2012,brad_childress,Brad Childress,Offensive Coordinator,pat_shurmur,Pat Shurmur,Head Coach,cle,coordinator_to_hc,0.0009718555941301596,-0.010176812179545438,0.04669205040678896,-0.04062643246028692,0.00799861660956398,5,-0.018813173699576,-0.01062071282726034,-0.028669969760074042,-0.03211249219303538,-0.00384952001793436,5
2017,brandon_staley,Brandon Staley,Outside Linebackers,vic_fangio,Vic Fangio,Defensive Coordinator,chi,position_to_coordinator,0.0025324579056034665,-0.005165025064820467,-0.0005203657198253327,-0.008314099269364,0.024129321676423635,3,0.039133406741410866,0.05904934198285877,0.087269449330495,-0.0180064311363383,0.028221266788628133,3
2017,brandon_staley,Brandon Staley,Outside Linebackers,john_fox,John Fox,Head Coach,chi,position_to_hc,-0.014061207496792209,-0.013442944897526975,-0.02469956385631318,0.003296115655254475,-0.021398436888583273,12,0.039133406741410866,0.05904934198285877,0.087269449330495,-0.0180064311363383,0.028221266788628133,3
2018,brandon_staley,Brandon Staley,Outside Linebackers,matt_nagy,Matt Nagy,Head Coach,chi,position_to_hc,0.02156477346618945,0.02505985145790255,0.0427456860014541,-0.0007962782882747998,0.019249834693676124,4,0.039133406741410866,0.05904934198285877,0.087269449330495,-0.0180064311363383,0.028221266788628133,3
2019,brandon_staley,Brandon Staley,Outside Linebackers,vic_fangio,Vic Fangio,Head Coach,den,position_to_hc,0.0025324579056034665,-0.005165025064820467,-0.0005203657198253327,-0.008314099269364,0.024129321676423635,3,0.039133406741410866,0.05904934198285877,0.087269449330495,-0.0180064311363383,0.028221266788628133,3
2020,brandon_staley,Brandon Staley,Defensive Coordinator,sean_mcvay,Sean McVay,Head Coach,ram,coordinator_to_hc,0.011279884349732474,0.0035515109048034504,0.040144324962959325,0.0027081450667686257,-0.0012844435356014496,8,0.039133406741410866,0.05904934198285877,0.087269449330495,-0.0180064311363383,0.028221266788628133,3
2024,brandon_staley,Brandon Staley,Assistant Head Coach,kyle_shanahan,Kyle Shanahan,Head Coach,sfo,position_to_hc,-0.005730871889660337,0.0037490315156206884,-0.0027349668949933252,-0.012949021670079988,-0.010988530509188738,8,0.039133406741410866,0.05904934198285877,0.087269449330495,-0.0180064311363383,0.028221266788628133,3
1992,brian_billick,Brian Billick,Tight Ends,dennis_green,Dennis Green,Head Coach,min,position_to_hc,-0.025833635868664,-0.0440622294535402,-0.009239763752635,-0.0285998180647876,-0.0214327322036931,1,-0.0025138965891904,-0.0121760389122591,-0.0009485969367547505,0.0040485892624651,-0.00097953977021285,2
1993,brian_billick,Brian Billick,Offensive Coordinator,dennis_green,Dennis Green,Head Coach,min,coordinator_to_hc,-0.025833635868664,-0.0440622294535402,-0.009239763752635,-0.0285998180647876,-0.0214327322036931,1,-0.0025138965891904,-0.0121760389122591,-0.0009485969367547505,0.0040485892624651,-0.00097953977021285,2
2016,brian_callahan,Brian Callahan,Quarterbacks,jim_caldwell,Jim Caldwell,Head Coach,det,position_to_hc,0.009223580635125142,-0.018404185003014658,0.06082710063136696,-0.002027990086803614,-0.0035006030010480424,7,-0.0018513560544158,0.0108092129230499,-0.0293852838642922,-0.0146709470187916,0.0258415937423706,1
2018,brian_callahan,Brian Callahan,Quarterbacks,jon_gruden,Jon Gruden,Head Coach,rai,position_to_hc,-0.0152724226048563,-0.011340200320770271,0.021874390714598572,-0.05066816976171135,-0.020955711051542116,7,-0.0018513560544158,0.0108092129230499,-0.0293852838642922,-0.0146709470187916,0.0258415937423706,1
2019,brian_callahan,Brian Callahan,Offensive Coordinator,zac_taylor,Zac Taylor,Head Coach,cin,coordinator_to_hc,0.01906688820673647,0.014993325137939566,0.07835127330100426,-0.0159186578463559,-0.0011583877656419505,6,-0.0018513560544158,0.0108092129230499,-0.0293852838642922,-0.0146709470187916,0.0258415937423706,1
2002,brian_daboll,Brian Daboll,Wide Receivers,bill_belichick,Bill Belichick,Head Coach,nwe,position_to_hc,0.004659168034026228,-0.0035172808318392557,0.046579340605060256,-0.017860727998238027,-0.0065646596388779415,18,0.014171960132936633,0.0205069806651237,0.014196610349512534,-0.058016933342774434,0.08000118285988479,3
2006,brian_daboll,Brian Daboll,Wide Receivers,josh_mcdaniels,Josh McDaniels,Offensive Coordinator,nwe,position_to_coordinator,0.0107907756604121,-0.006283342886321575,0.023455635768959576,0.020896241014663648,0.00509456874434675,4,0.014171960132936633,0.0205069806651237,0.014196610349512534,-0.058016933342774434,0.08000118285988479,3
2007,brian_daboll,Brian Daboll,Quarterbacks,eric_mangini,Eric Mangini,Head Coach,nyj,position_to_hc,-0.0115216504418782,-0.01278322720254206,-0.02645786026733536,-0.014689727504144278,0.00784421320650874,5,0.014171960132936633,0.0205069806651237,0.014196610349512534,-0.058016933342774434,0.08000118285988479,3
2009,brian_daboll,Brian Daboll,Offensive Coordinator,eric_mangini,Eric Mangini,Head Coach,cle,coordinator_to_hc,-0.0115216504418782,-0.01278322720254206,-0.02645786026733536,-0.014689727504144278,0.00784421320650874,5,0.014171960132936633,0.0205069806651237,0.014196610349512534,-0.058016933342774434,0.08000118285988479,3
2011,brian_daboll,Brian Daboll,Offensive Coordinator,tony_sparano,Tony Sparano,Head Coach,mia,coordinator_to_hc,-0.00568423405941176,-0.013486742364460961,-0.0013244655280923987,0.013256613929038139,-0.021182342274131922,5,0.014171960132936633,0.0205069806651237,0.014196610349512534,-0.058016933342774434,0.08000118285988479,3
2012,brian_daboll,Brian Daboll,Offensive Coordinator,romeo_crennel,Romeo Crennel,Head Coach,kan,coordinator_to_hc,-0.014700134126963684,-0.0156714232851935,-0.003744937890917434,-0.006234233218179566,-0.03314994211356432,6,0.014171960132936633,0.0205069806651237,0.014196610349512534,-0.058016933342774434,0.08000118285988479,3
2018,brian_daboll,Brian Daboll,Offensive Coordinator,sean_mcdermott,Sean McDermott,Head Coach,buf,coordinator_to_hc,0.02644971759636356,0.02836017883311355,0.05072947450340276,0.01964469278481666,0.007064524264121275,8,0.014171960132936633,0.0205069806651237,0.014196610349512534,-0.058016933342774434,0.08000118285988479,3
